Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,25.947500,27.500000,23.792500,27.232500,26.912146,1428896000
2017-04-01,27.237499,27.412500,23.872499,26.075001,25.768270,957257200
2017-05-01,26.184999,36.750000,25.577499,36.087502,35.663002,1920944400
2017-06-01,36.247501,42.125000,35.527500,36.139999,35.752483,2344552000
2017-07-01,36.262501,42.482498,34.645000,40.627499,40.191853,1549101600
2017-08-01,40.532501,43.639999,38.227501,42.360001,41.905788,1472821600
2017-09-01,42.487499,47.799999,40.677502,44.692501,44.252201,1444733600
2017-10-01,45.200001,51.972500,44.250000,51.702499,51.193142,1142266400
2017-11-01,52.337502,54.667500,47.807499,50.177502,49.683163,1183089600
2017-12-01,49.827499,50.075001,45.145000,48.375000,47.931705,1011221600
2018-01-01,48.945000,62.317501,48.625000,61.450001,60.886898,1145621600
2018-02-01,59.630001,62.992500,51.000000,60.500000,59.945599,1491552800
2018-03-01,60.477501,63.625000,54.250000,57.897499,57.402592,1411844000
2018-04-01,57.185001,59.812500,52.575001,56.224998,55.744392,1114400800
2018-05-01,56.142502,65.125000,55.549999,63.047501,62.508575,1197824000
2018-06-01,63.500000,67.300003,58.752499,59.224998,58.755054,878554000
2018-07-01,58.522499,64.150002,58.314999,61.215000,60.729271,632187600
2018-08-01,61.532501,70.430000,59.680000,70.169998,69.613213,1091783600
2018-09-01,70.037498,71.305000,64.669998,70.254997,69.735657,634020000
2018-10-01,71.040001,73.190002,44.002499,52.707500,52.317879,1297797600
2018-11-01,53.075001,55.500000,33.327499,40.857498,40.555470,1616234000
2018-12-01,43.150002,43.669998,31.115000,33.375000,33.161434,1245140800
2019-01-01,32.660000,40.220001,31.922501,35.937500,35.707531,1687099200
2019-02-01,36.125000,41.320000,35.645000,38.564999,38.318226,1144572800
2019-03-01,39.067501,46.250000,36.200001,44.889999,44.648716,1206854000
2019-04-01,45.814999,48.367500,43.325001,45.250000,45.006779,943778000
2019-05-01,45.777500,46.217499,33.847500,33.865002,33.682976,1118075200
2019-06-01,33.977501,41.342499,33.150002,41.057499,40.883423,823334000
2019-07-01,43.142502,44.722500,38.750000,42.180000,42.001167,841598400
2019-08-01,42.285000,43.362499,36.847500,41.877499,41.699955,945032800
2019-09-01,41.145000,47.099998,40.812500,43.517502,43.375893,634776800
2019-10-01,43.750000,52.224998,42.532501,50.255001,50.091465,769617200
2019-11-01,49.900002,55.352501,49.647499,54.185001,54.008686,732180000
2019-12-01,54.115002,60.452499,50.092499,58.825001,58.676846,654353200
2020-01-01,59.687500,64.875000,57.817501,59.107498,58.958633,612541200
2020-02-01,58.924999,79.080002,58.862499,67.517502,67.347450,1184865200
2020-03-01,69.224998,71.222504,45.169998,65.900002,65.773361,1577395200
2020-04-01,63.912498,76.050003,59.597500,73.070000,72.929558,1127830400
2020-05-01,71.087502,91.817497,70.209999,88.754997,88.584419,1254887600
2020-06-01,88.332497,96.425003,86.580002,94.977501,94.794968,971946400
2020-07-01,95.207497,107.922501,94.129997,106.147499,105.991837,809445200
2020-08-01,107.324997,135.750000,107.152496,133.744995,133.548843,967254400
2020-09-01,134.800003,147.267502,117.042503,135.304993,135.106567,1585655200
2020-10-01,137.580002,143.485001,123.000000,125.339996,125.193642,802235600
2020-11-01,126.577499,146.914993,123.949997,134.014999,133.858521,759482000
2020-12-01,134.922501,137.312500,127.632500,130.550003,130.397568,512099600
2021-01-01,131.042496,139.992493,125.860001,129.897507,129.784164,615417200
2021-02-01,130.532501,153.725006,129.027496,137.145004,137.025330,668032400
2021-03-01,138.750000,139.250000,115.665001,133.482498,133.366028,764865600
2021-04-01,135.722504,162.142502,135.112503,150.095001,150.015778,671879600
2021-05-01,151.250000,162.774994,134.589996,162.445007,162.359268,705438000
2021-06-01,162.699997,201.625000,159.032501,200.024994,199.919418,1027329200
2021-07-01,201.250000,208.750000,178.654999,194.990005,194.931763,782280900
2021-08-01,197.000000,230.429993,187.619995,223.850006,223.783127,641474900
2021-09-01,224.850006,229.860001,204.669998,207.160004,207.134644,499855400
2021-10-01,207.500000,257.089996,195.550003,255.669998,255.638702,497028000
2021-11-01,256.489990,346.470001,252.270004,326.760010,326.720001,1080973500
2021-12-01,332.190002,332.890015,271.450012,294.109985,294.073975,1105768300
2022-01-01,298.149994,307.109985,208.880005,244.860001,244.860001,1068082200
2022-02-01,251.039993,269.250000,208.899994,241.570007,241.570007,1016496000
2022-02-25,237.210007,242.169907,233.809998,241.570007,241.570007,52187664
